customer_key,prefix,first_name,last_name,birth_date,marital_status,gender,annual_income,total_children,education_level,occupation,home_owner,income_sort
11000,MR.,JON,YANG,4/8/1966,M,M,"$90,000 ",2,Bachelors,Professional,Y,10
11001,MR.,EUGENE,HUANG,5/14/1965,S,M,"$60,000 ",3,Bachelors,Professional,N,7
11002,MR.,RUBEN,TORRES,8/12/1965,M,M,"$60,000 ",3,Bachelors,Professional,Y,7
11003,MS.,CHRISTY,ZHU,2/15/1968,S,F,"$70,000 ",0,Bachelors,Professional,N,8
11004,MRS.,ELIZABETH,JOHNSON,8/8/1968,S,F,"$80,000 ",5,Bachelors,Professional,Y,9
11005,MR.,JULIO,RUIZ,8/5/1965,S,M,"$70,000 ",0,Bachelors,Professional,Y,8
11007,MR.,MARCO,MEHTA,5/9/1964,M,M,"$60,000 ",3,Bachelors,Professional,Y,7
11008,MRS.,ROBIN,VERHOFF,7/7/1964,S,F,"$60,000 ",4,Bachelors,Professional,Y,7
11009,MR.,SHANNON,CARLSON,4/1/1964,S,M,"$70,000 ",0,Bachelors,Professional,N,8
11010,MS.,JACQUELYN,SUAREZ,2/6/1964,S,F,"$70,000 ",0,Bachelors,Professional,N,8
11011,MR.,CURTIS,LU,11/4/1963,M,M,"$60,000 ",4,Bachelors,Professional,Y,7
11012,MRS.,LAUREN,WALKER,1/18/1968,M,F,"$100,000 ",2,Bachelors,Management,Y,11
11013,MR.,IAN,JENKINS,8/6/1968,M,M,"$100,000 ",2,Bachelors,Management,Y,11
11014,MRS.,SYDNEY,BENNETT,5/9/1968,S,F,"$100,000 ",3,Bachelors,Management,N,11
11015,MS.,CHLOE,YOUNG,2/27/1979,S,F,"$30,000 ",0,Partial College,Skilled Manual,N,4
11016,MR.,WYATT,HILL,4/28/1979,M,M,"$30,000 ",0,Partial College,Skilled Manual,Y,4
11017,MRS.,SHANNON,WANG,6/26/1944,S,F,"$20,000 ",4,High School,Skilled Manual,Y,2
11018,MR.,CLARENCE,RAI,10/9/1944,S,M,"$30,000 ",2,Partial College,Clerical,Y,4
11019,MR.,LUKE,LAL,3/7/1978,S,M,"$40,000 ",0,High School,Skilled Manual,N,5
11020,MR.,JORDAN,KING,9/20/1978,S,M,"$40,000 ",0,High School,Skilled Manual,N,5
11021,MS.,DESTINY,WILSON,9/3/1978,S,F,"$40,000 ",0,Partial College,Skilled Manual,N,5
11022,MR.,ETHAN,ZHANG,10/12/1978,M,M,"$40,000 ",0,Partial College,Skilled Manual,Y,5
11023,MR.,SETH,EDWARDS,10/11/1978,M,M,"$40,000 ",0,Partial College,Skilled Manual,Y,5
11024,MR.,RUSSELL,XIE,9/17/1978,M,M,"$60,000 ",0,Partial College,Skilled Manual,Y,7
11025,Unknown,ALEJANDRO,BECK,12/23/1945,M,Unknown,"$10,000 ",2,Partial High School,Clerical,Y,1
11026,MR.,HAROLD,SAI,4/3/1946,S,M,"$30,000 ",2,Partial College,Clerical,N,4
11027,MR.,JESSIE,ZHAO,12/7/1946,M,M,"$30,000 ",2,Partial College,Clerical,Y,4
11028,MRS.,JILL,JIMENEZ,4/11/1946,M,F,"$30,000 ",2,Partial College,Clerical,Y,4
11029,MR.,JIMMY,MORENO,12/21/1946,M,M,"$30,000 ",2,Partial College,Clerical,Y,4
11030,MRS.,BETHANY,YUAN,2/22/1947,M,F,"$10,000 ",2,Partial High School,Clerical,Y,1
11031,MRS.,THERESA,RAMOS,8/22/1947,M,F,"$20,000 ",4,High School,Skilled Manual,Y,2
11032,MRS.,DENISE,STONE,6/11/1947,M,F,"$20,000 ",4,High School,Skilled Manual,Y,2
11033,MR.,JAIME,NATH,9/23/1947,M,M,"$20,000 ",4,High School,Skilled Manual,Y,2
11034,MRS.,EBONY,GONZALEZ,6/19/1947,M,F,"$20,000 ",4,High School,Skilled Manual,Y,2
11035,Unknown,WENDY,DOMINGUEZ,2/24/1948,M,Unknown,"$10,000 ",2,Partial High School,Clerical,Y,1
11036,MS.,JENNIFER,RUSSELL,12/18/1978,M,F,"$60,000 ",0,Partial College,Skilled Manual,Y,7
11037,MS.,CHLOE,GARCIA,11/27/1977,S,F,"$40,000 ",0,Partial High School,Clerical,N,5
11038,MRS.,DIANA,HERNANDEZ,3/23/1948,M,F,"$10,000 ",2,Partial High School,Clerical,Y,1
11039,MR.,MARC,MARTIN,12/17/1948,M,M,"$30,000 ",3,Partial College,Clerical,Y,4
11040,MR.,JESSE,MURPHY,8/1/1977,M,M,"$30,000 ",0,Partial College,Skilled Manual,Y,4
11041,MS.,AMANDA,CARTER,10/16/1977,M,F,"$60,000 ",0,Partial College,Skilled Manual,Y,7
11042,MS.,MEGAN,SANCHEZ,6/13/1977,M,F,"$70,000 ",0,Partial College,Skilled Manual,Y,8
11043,MR.,NATHAN,SIMMONS,2/24/1976,M,M,"$60,000 ",0,Partial College,Skilled Manual,Y,7
11044,MR.,ADAM,FLORES,5/24/1949,M,M,"$20,000 ",2,Partial High School,Clerical,Y,2
11045,MR.,LEONARD,NARA,5/19/1950,S,M,"$30,000 ",3,High School,Skilled Manual,N,4
11046,MRS.,CHRISTINE,YUAN,3/22/1950,M,F,"$30,000 ",3,High School,Skilled Manual,Y,4
11047,MRS.,JACLYN,LU,2/27/1950,M,F,"$30,000 ",3,High School,Skilled Manual,N,4
11048,MR.,JEREMY,POWELL,11/22/1950,M,M,"$30,000 ",3,High School,Skilled Manual,Y,4
11049,MS.,CAROL,RAI,7/18/1980,S,F,"$40,000 ",0,Partial High School,Clerical,Y,5
11050,MR.,ALAN,ZHENG,9/7/1951,M,M,"$30,000 ",3,High School,Skilled Manual,Y,4
11051,MR.,DANIEL,JOHNSON,8/4/1951,S,M,"$30,000 ",3,High School,Skilled Manual,N,4
11052,MRS.,HEIDI,LOPEZ,8/7/1951,S,F,"$40,000 ",2,Partial College,Clerical,N,5
11053,MS.,ANA,PRICE,8/20/1980,M,F,"$60,000 ",0,Partial College,Skilled Manual,N,7
11054,MRS.,DEANNA,MUNOZ,3/10/1952,M,F,"$40,000 ",2,Partial College,Skilled Manual,Y,5
11055,MR.,GILBERT,RAJE,3/5/1952,M,M,"$40,000 ",2,Partial College,Skilled Manual,Y,5
11056,MRS.,MICHELE,NATH,4/3/1953,M,F,"$40,000 ",3,Partial College,Skilled Manual,Y,5
11057,MR.,CARL,ANDERSEN,10/12/1953,M,M,"$70,000 ",2,Graduate Degree,Management,Y,8
11058,MR.,MARC,DIAZ,4/27/1954,M,M,"$80,000 ",2,Partial College,Skilled Manual,Y,9
11059,MRS.,ASHLEE,ANDERSEN,4/1/1954,S,F,"$80,000 ",2,Partial College,Skilled Manual,Y,9
11060,MR.,JON,ZHOU,3/17/1954,M,M,"$80,000 ",2,Partial College,Skilled Manual,Y,9
11061,MR.,TODD,GAO,2/27/1954,M,M,"$80,000 ",2,Partial College,Skilled Manual,Y,9
11062,MR.,NOAH,POWELL,9/2/1975,M,M,"$40,000 ",0,High School,Skilled Manual,Y,5
11063,MS.,ANGELA,MURPHY,4/7/1975,S,F,"$40,000 ",0,High School,Skilled Manual,Y,5
11064,MR.,CHASE,REED,12/7/1975,M,M,"$40,000 ",0,High School,Skilled Manual,Y,5
11065,MS.,JESSICA,HENDERSON,10/9/1973,M,F,"$60,000 ",0,Partial College,Skilled Manual,N,7
11066,MS.,GRACE,BUTLER,11/27/1973,M,F,"$70,000 ",0,Partial College,Professional,Y,8
11067,MR.,CALEB,CARTER,9/25/1976,S,M,"$60,000 ",0,Partial College,Professional,Y,7
11068,MRS.,TIFFANY,LIANG,9/23/1955,S,F,"$80,000 ",2,High School,Skilled Manual,Y,9
11069,MRS.,CAROLYN,NAVARRO,9/21/1955,S,F,"$80,000 ",2,High School,Skilled Manual,N,9
11070,MR.,WILLIE,RAJI,4/5/1955,M,M,"$80,000 ",2,High School,Skilled Manual,Y,9
11071,MRS.,LINDA,SERRANO,6/26/1955,S,F,"$80,000 ",2,High School,Skilled Manual,Y,9
11072,MRS.,CASEY,LUO,2/6/1955,S,F,"$80,000 ",2,High School,Skilled Manual,N,9
11073,MRS.,AMY,YE,8/14/1956,S,F,"$70,000 ",2,High School,Skilled Manual,Y,8
11074,MR.,LEVI,ARUN,8/28/1956,S,M,"$70,000 ",2,High School,Skilled Manual,Y,8
11075,MRS.,FELICIA,JIMENEZ,11/16/1957,S,F,"$80,000 ",2,High School,Professional,Y,9
11076,MR.,BLAKE,ANDERSON,7/13/1957,S,M,"$80,000 ",2,High School,Professional,Y,9
11077,MRS.,LEAH,YE,9/19/1957,S,F,"$80,000 ",2,High School,Professional,N,9
11078,MS.,GINA,MARTIN,1/10/1974,S,F,"$40,000 ",0,High School,Professional,N,5
11079,MR.,DONALD,GONZALEZ,3/11/1959,S,M,"$160,000 ",0,Graduate Degree,Management,Y,16
11080,MR.,DAMIEN,CHANDER,7/17/1959,M,M,"$170,000 ",0,Graduate Degree,Management,Y,17
11081,MRS.,SAVANNAH,BAKER,7/24/1966,M,F,"$120,000 ",2,Bachelors,Management,Y,13
11082,Unknown,ANGELA,BUTLER,8/4/1966,S,Unknown,"$130,000 ",0,Graduate Degree,Management,N,14
11083,MS.,ALYSSA,COX,3/15/1966,M,F,"$130,000 ",0,Graduate Degree,Management,Y,14
11084,MR.,LUCAS,PHILLIPS,9/12/1957,S,M,"$80,000 ",2,Partial High School,Skilled Manual,N,9
11085,MRS.,EMILY,JOHNSON,7/19/1957,S,F,"$60,000 ",2,High School,Professional,N,7
11086,MR.,RYAN,BROWN,12/23/1957,M,M,"$70,000 ",2,Partial College,Professional,Y,8
11087,MRS.,TAMARA,LIANG,10/3/1957,M,F,"$70,000 ",3,Partial College,Professional,N,8
11089,MRS.,ABIGAIL,PRICE,2/5/1957,S,F,"$80,000 ",2,Bachelors,Management,Y,9
11090,MR.,TREVOR,BRYANT,12/17/1957,S,M,"$90,000 ",2,Partial College,Professional,Y,10
11091,MR.,DALTON,PEREZ,4/4/1957,M,M,"$90,000 ",2,Partial College,Professional,Y,10
11092,MRS.,CHERYL,DIAZ,5/6/1967,M,F,"$90,000 ",2,Bachelors,Professional,Y,10
11093,MS.,AIMEE,HE,9/10/1967,M,F,"$100,000 ",0,Graduate Degree,Management,Y,11
11094,MR.,CEDRIC,MA,4/1/1962,S,M,"$70,000 ",1,Partial College,Skilled Manual,N,8
11095,MR.,CHAD,KUMAR,9/1/1962,S,M,"$70,000 ",1,Partial College,Skilled Manual,Y,8
11096,MR.,ANDRÉS,ANAND,8/10/1962,M,M,"$60,000 ",1,Bachelors,Professional,Y,7
11097,MR.,EDWIN,NARA,10/27/1961,M,M,"$60,000 ",1,Partial College,Skilled Manual,Y,7
11098,MRS.,MALLORY,RUBIO,5/1/1961,S,F,"$60,000 ",1,Partial College,Skilled Manual,N,7
11099,MR.,ADAM,ROSS,3/8/1961,M,M,"$60,000 ",1,Bachelors,Professional,Y,7
11100,MRS.,LATASHA,NAVARRO,9/15/1960,S,F,"$60,000 ",1,Partial College,Skilled Manual,Y,7
11101,MS.,ABBY,SAI,5/8/1965,S,F,"$70,000 ",0,Bachelors,Professional,N,8
11102,MRS.,JULIA,NELSON,4/21/1965,S,F,"$80,000 ",5,Bachelors,Professional,Y,9
11103,MS.,CASSIE,CHANDE,10/17/1964,S,F,"$70,000 ",0,Bachelors,Professional,Y,8
11104,MR.,EDGAR,SARA,3/11/1964,M,M,"$70,000 ",0,Bachelors,Professional,N,8
11105,MS.,CANDACE,FERNANDEZ,12/28/1964,S,F,"$70,000 ",0,Bachelors,Professional,N,8
11106,MR.,JESSIE,LIU,9/11/1964,S,M,"$70,000 ",0,Bachelors,Professional,N,8
11107,MRS.,BIANCA,LIN,9/9/1959,M,F,"$90,000 ",1,Bachelors,Professional,Y,10
11108,MS.,KARI,ALVAREZ,7/14/1963,S,F,"$70,000 ",0,Bachelors,Professional,N,8
11109,MR.,RUBEN,KAPOOR,11/5/1963,S,M,"$70,000 ",0,Bachelors,Professional,N,8
11110,MR.,CURTIS,YANG,6/6/1962,M,M,"$60,000 ",1,Partial College,Skilled Manual,Y,7
11111,MRS.,MEREDITH,GUTIERREZ,2/23/1962,M,F,"$60,000 ",1,Partial College,Skilled Manual,Y,7
11112,MRS.,CRYSTAL,WANG,9/9/1962,M,F,"$60,000 ",1,Partial College,Skilled Manual,Y,7
11113,MR.,MICHEAL,BLANCO,2/21/1962,M,M,"$70,000 ",5,Bachelors,Professional,Y,8
11114,MRS.,LESLIE,MORENO,5/28/1962,S,F,"$70,000 ",5,Partial College,Skilled Manual,Y,8
11115,MR.,ALVIN,CAI,2/12/1962,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y,8
11116,MR.,CLINTON,CARLSON,10/7/1962,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y,8
11117,MRS.,APRIL,DENG,2/21/1961,M,F,"$70,000 ",5,Partial College,Skilled Manual,Y,8
11118,MR.,ALVIN,ZENG,7/3/1957,S,M,"$80,000 ",1,Partial College,Skilled Manual,N,9
11119,MR.,EVAN,JAMES,4/10/1935,S,M,"$30,000 ",2,Partial College,Clerical,N,4
11121,MR.,ORLANDO,SUAREZ,11/18/1960,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y,8
11122,MR.,BYRON,VAZQUEZ,4/2/1960,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y,8
11123,MR.,PHILIP,ALVAREZ,6/20/1960,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y,8
11124,MR.,ROSS,JORDAN,7/27/1957,S,M,"$80,000 ",1,Partial College,Skilled Manual,Y,9
11125,MRS.,DANA,NAVARRO,4/8/1956,S,F,"$70,000 ",1,Partial College,Skilled Manual,Y,8
11126,MR.,SHAUN,CARSON,4/7/1949,M,M,"$10,000 ",2,High School,Skilled Manual,N,1
11127,MS.,JAN,EDWARDS,10/21/1975,M,F,"$40,000 ",0,High School,Skilled Manual,Y,5
11128,MS.,SAMANTHA,LONG,12/5/1975,M,F,"$40,000 ",0,High School,Skilled Manual,Y,5
11129,MS.,JULIA,WRIGHT,8/5/1975,S,F,"$40,000 ",0,High School,Skilled Manual,Y,5
11130,MS.,CAROLINE,RUSSELL,1/6/1980,M,F,"$30,000 ",0,High School,Skilled Manual,Y,4
11131,MS.,AMANDA,RIVERA,3/12/1980,M,F,"$30,000 ",0,High School,Skilled Manual,N,4
11132,MS.,MELISSA,RICHARDSON,10/26/1980,S,F,"$30,000 ",0,High School,Skilled Manual,N,4
11133,MS.,ANGELA,GRIFFIN,9/8/1980,S,F,"$30,000 ",0,Partial High School,Clerical,N,4
